income_lower,income_upper,Annual Income,Credit Score,Loan Principal ,Years,months,PMT_calc_1,PMT_calc_2,PMT_calc_3,Monthly Payment,percent_of_monthly_income,below_10%_monthly_income,below_20%_monthly_income,below_40%_monthly_income,credit_score_threshold,Loan Approval
10000,25000,"$13,542.00",301,"$18,837.00",1,12,0.00625,0.00673520374285019,0.0776325988560311,"$1,634.25",144.82%,FALSE,FALSE,FALSE,800,Denied
10000,25000,"$20,486.00",506,"$43,362.00",6,72,0.00625,0.00978823393808716,0.566117430093945,$749.73,43.92%,FALSE,FALSE,FALSE,800,Denied
10000,25000,"$14,718.00",725,"$41,918.00",4,48,0.00625,0.00842874469589205,0.348599151342728,"$1,013.53",82.64%,FALSE,FALSE,FALSE,800,Denied
10000,25000,"$12,898.00",459,"$17,762.00",10,120,0.00625,0.0132004039820484,1.11206463712775,$210.84,19.62%,FALSE,TRUE,TRUE,650,Denied
10000,25000,"$19,152.00",542,"$30,644.00",2,24,0.00625,0.00725807511323252,0.161292018117204,"$1,378.97",86.40%,FALSE,FALSE,FALSE,800,Denied
10000,25000,"$21,543.00",785,"$20,268.00",6,72,0.00625,0.00978823393808716,0.566117430093945,$350.44,19.52%,FALSE,TRUE,TRUE,650,Approved
10000,25000,"$24,894.00",740,"$2,597.00",7,84,0.00625,0.0105481199769117,0.687699196305867,$39.83,1.92%,TRUE,TRUE,TRUE,500,Approved
10000,25000,"$23,976.00",314,"$10,073.00",5,60,0.00625,0.00908309005172814,0.453294408276502,$201.84,10.10%,FALSE,TRUE,TRUE,650,Denied
10000,25000,"$10,649.00",497,"$44,008.00",10,120,0.00625,0.0132004039820484,1.11206463712775,$522.38,58.87%,FALSE,FALSE,FALSE,800,Denied
10000,25000,"$12,933.00",309,"$32,103.00",6,72,0.00625,0.00978823393808716,0.566117430093945,$555.06,51.50%,FALSE,FALSE,FALSE,800,Denied
10000,25000,"$13,108.00",657,"$3,486.00",5,60,0.00625,0.00908309005172814,0.453294408276502,$69.85,6.39%,TRUE,TRUE,TRUE,500,Approved
10000,25000,"$15,327.00",303,"$26,927.00",4,48,0.00625,0.00842874469589205,0.348599151342728,$651.07,50.97%,FALSE,FALSE,FALSE,800,Denied
10000,25000,"$17,257.00",811,"$8,934.00",1,12,0.00625,0.00673520374285019,0.0776325988560311,$775.09,53.90%,FALSE,FALSE,FALSE,800,Approved
10000,25000,"$15,116.00",316,"$41,700.00",5,60,0.00625,0.00908309005172814,0.453294408276502,$835.58,66.33%,FALSE,FALSE,FALSE,800,Denied
10000,25000,"$10,701.00",676,"$43,508.00",4,48,0.00625,0.00842874469589205,0.348599151342728,"$1,051.98",117.97%,FALSE,FALSE,FALSE,800,Denied
10000,25000,"$17,507.00",354,"$5,141.00",9,108,0.00625,0.0122494475353301,0.959911605652823,$65.60,4.50%,TRUE,TRUE,TRUE,500,Denied
10000,25000,"$10,686.00",436,"$14,184.00",5,60,0.00625,0.00908309005172814,0.453294408276502,$284.22,31.92%,FALSE,FALSE,TRUE,740,Denied
10000,25000,"$23,441.00",643,"$26,442.00",6,72,0.00625,0.00978823393808716,0.566117430093945,$457.19,23.40%,FALSE,FALSE,TRUE,740,Denied
10000,25000,"$24,716.00",314,"$4,208.00",6,72,0.00625,0.00978823393808716,0.566117430093945,$72.76,3.53%,TRUE,TRUE,TRUE,500,Denied
10000,25000,"$21,173.00",460,"$28,185.00",8,96,0.00625,0.0113669979437645,0.818719671002327,$391.32,22.18%,FALSE,FALSE,TRUE,740,Denied
15000,45000,"$43,855.00",626,"$36,533.00",9,108,0.00625,0.0122494475353301,0.959911605652823,$466.20,12.76%,FALSE,TRUE,TRUE,650,Denied
15000,45000,"$30,198.00",756,"$16,600.00",7,84,0.00625,0.0105481199769117,0.687699196305867,$254.62,10.12%,FALSE,TRUE,TRUE,650,Approved
15000,45000,"$34,845.00",561,"$24,776.00",8,96,0.00625,0.0113669979437645,0.818719671002327,$343.99,11.85%,FALSE,TRUE,TRUE,650,Denied
15000,45000,"$44,486.00",603,"$46,243.00",9,108,0.00625,0.0122494475353301,0.959911605652823,$590.11,15.92%,FALSE,TRUE,TRUE,650,Denied
15000,45000,"$15,645.00",432,"$4,613.00",9,108,0.00625,0.0122494475353301,0.959911605652823,$58.87,4.52%,TRUE,TRUE,TRUE,500,Denied
15000,45000,"$22,823.00",754,"$30,901.00",3,36,0.00625,0.00782153834696505,0.251446135514408,$961.21,50.54%,FALSE,FALSE,FALSE,800,Denied
15000,45000,"$25,139.00",742,"$11,595.00",2,24,0.00625,0.00725807511323252,0.161292018117204,$521.77,24.91%,FALSE,FALSE,TRUE,740,Approved
15000,45000,"$26,742.00",594,"$5,440.00",2,24,0.00625,0.00725807511323252,0.161292018117204,$244.80,10.98%,FALSE,TRUE,TRUE,650,Denied
15000,45000,"$17,399.00",379,"$17,483.00",8,96,0.00625,0.0113669979437645,0.818719671002327,$242.73,16.74%,FALSE,TRUE,TRUE,650,Denied
15000,45000,"$27,964.00",573,"$8,044.00",10,120,0.00625,0.0132004039820484,1.11206463712775,$95.48,4.10%,TRUE,TRUE,TRUE,500,Approved
15000,45000,"$19,838.00",730,"$40,873.00",9,108,0.00625,0.0122494475353301,0.959911605652823,$521.58,31.55%,FALSE,FALSE,TRUE,740,Denied
15000,45000,"$36,140.00",306,"$33,189.00",8,96,0.00625,0.0113669979437645,0.818719671002327,$460.79,15.30%,FALSE,TRUE,TRUE,650,Denied
15000,45000,"$43,178.00",381,"$12,342.00",3,36,0.00625,0.00782153834696505,0.251446135514408,$383.91,10.67%,FALSE,TRUE,TRUE,650,Denied
15000,45000,"$27,547.00",604,"$41,362.00",8,96,0.00625,0.0113669979437645,0.818719671002327,$574.26,25.02%,FALSE,FALSE,TRUE,740,Denied
15000,45000,"$33,880.00",537,"$20,168.00",10,120,0.00625,0.0132004039820484,1.11206463712775,$239.40,8.48%,TRUE,TRUE,TRUE,500,Approved
15000,45000,"$33,278.00",657,"$23,403.00",2,24,0.00625,0.00725807511323252,0.161292018117204,"$1,053.13",37.98%,FALSE,FALSE,TRUE,740,Denied
15000,45000,"$31,677.00",658,"$9,803.00",2,24,0.00625,0.00725807511323252,0.161292018117204,$441.13,16.71%,FALSE,TRUE,TRUE,650,Approved
15000,45000,"$28,935.00",844,"$25,474.00",5,60,0.00625,0.00908309005172814,0.453294408276502,$510.45,21.17%,FALSE,FALSE,TRUE,740,Approved
15000,45000,"$36,970.00",845,"$19,980.00",8,96,0.00625,0.0113669979437645,0.818719671002327,$277.40,9.00%,TRUE,TRUE,TRUE,500,Approved
15000,45000,"$28,775.00",322,"$37,285.00",2,24,0.00625,0.00725807511323252,0.161292018117204,"$1,677.81",69.97%,FALSE,FALSE,FALSE,800,Denied
35000,75000,"$60,381.00",579,"$38,662.00",8,96,0.00625,0.0113669979437645,0.818719671002327,$536.78,10.67%,FALSE,TRUE,TRUE,650,Denied
35000,75000,"$47,038.00",489,"$39,215.00",2,24,0.00625,0.00725807511323252,0.161292018117204,"$1,764.66",45.02%,FALSE,FALSE,FALSE,800,Denied
35000,75000,"$42,231.00",504,"$37,213.00",7,84,0.00625,0.0105481199769117,0.687699196305867,$570.78,16.22%,FALSE,TRUE,TRUE,650,Denied
35000,75000,"$36,156.00",424,"$49,035.00",8,96,0.00625,0.0113669979437645,0.818719671002327,$680.80,22.60%,FALSE,FALSE,TRUE,740,Denied
35000,75000,"$50,554.00",436,"$28,447.00",5,60,0.00625,0.00908309005172814,0.453294408276502,$570.02,13.53%,FALSE,TRUE,TRUE,650,Denied
35000,75000,"$37,965.00",716,"$35,295.00",1,12,0.00625,0.00673520374285019,0.0776325988560311,"$3,062.10",96.79%,FALSE,FALSE,FALSE,800,Denied
35000,75000,"$41,072.00",577,"$28,316.00",8,96,0.00625,0.0113669979437645,0.818719671002327,$393.14,11.49%,FALSE,TRUE,TRUE,650,Denied
35000,75000,"$46,124.00",735,"$32,985.00",4,48,0.00625,0.00842874469589205,0.348599151342728,$797.54,20.75%,FALSE,FALSE,TRUE,740,Denied
35000,75000,"$59,609.00",390,"$46,812.00",3,36,0.00625,0.00782153834696505,0.251446135514408,"$1,456.14",29.31%,FALSE,FALSE,TRUE,740,Denied
35000,75000,"$37,826.00",405,"$34,262.00",3,36,0.00625,0.00782153834696505,0.251446135514408,"$1,065.76",33.81%,FALSE,FALSE,TRUE,740,Denied
35000,75000,"$44,300.00",427,"$20,507.00",10,120,0.00625,0.0132004039820484,1.11206463712775,$243.42,6.59%,TRUE,TRUE,TRUE,500,Denied
35000,75000,"$44,848.00",335,"$5,435.00",4,48,0.00625,0.00842874469589205,0.348599151342728,$131.41,3.52%,TRUE,TRUE,TRUE,500,Denied
35000,75000,"$54,842.00",381,"$34,295.00",5,60,0.00625,0.00908309005172814,0.453294408276502,$687.20,15.04%,FALSE,TRUE,TRUE,650,Denied
35000,75000,"$40,350.00",396,"$28,106.00",6,72,0.00625,0.00978823393808716,0.566117430093945,$485.96,14.45%,FALSE,TRUE,TRUE,650,Denied
35000,75000,"$53,976.00",709,"$26,525.00",6,72,0.00625,0.00978823393808716,0.566117430093945,$458.62,10.20%,FALSE,TRUE,TRUE,650,Approved
35000,75000,"$62,112.00",728,"$44,872.00",5,60,0.00625,0.00908309005172814,0.453294408276502,$899.14,17.37%,FALSE,TRUE,TRUE,650,Approved
35000,75000,"$64,074.00",382,"$2,548.00",2,24,0.00625,0.00725807511323252,0.161292018117204,$114.66,2.15%,TRUE,TRUE,TRUE,500,Denied
